#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
mmu05152	Tuberculosis	9	168	0.49	0.1008	10090.ENSMUSP00000015667,10090.ENSMUSP00000025192,10090.ENSMUSP00000028882,10090.ENSMUSP00000029748,10090.ENSMUSP00000032491,10090.ENSMUSP00000033053,10090.ENSMUSP00000034777,10090.ENSMUSP00000095171,10090.ENSMUSP00000141132	Ctss,H2-Oa,Il1a,Fcgr1,Tnfrsf1a,Itgax,Calml4,Cd74,Stat1
mmu05162	Measles	8	140	0.52	0.1008	10090.ENSMUSP00000026571,10090.ENSMUSP00000028882,10090.ENSMUSP00000042433,10090.ENSMUSP00000080209,10090.ENSMUSP00000096829,10090.ENSMUSP00000101269,10090.ENSMUSP00000113071,10090.ENSMUSP00000141132	Irf7,Il1a,Ddx58,Oas2,Csnk2a1,Trp73,Msn,Stat1
mmu05164	Influenza A	9	166	0.5	0.1008	10090.ENSMUSP00000025192,10090.ENSMUSP00000026571,10090.ENSMUSP00000028882,10090.ENSMUSP00000032491,10090.ENSMUSP00000042433,10090.ENSMUSP00000080209,10090.ENSMUSP00000083587,10090.ENSMUSP00000103528,10090.ENSMUSP00000141132	H2-Oa,Irf7,Il1a,Tnfrsf1a,Ddx58,Oas2,Icam1,Trim25,Stat1
mmu05167	Kaposi sarcoma-associated herpesvirus infection	10	210	0.44	0.1008	10090.ENSMUSP00000025181,10090.ENSMUSP00000026571,10090.ENSMUSP00000032491,10090.ENSMUSP00000034777,10090.ENSMUSP00000057815,10090.ENSMUSP00000083587,10090.ENSMUSP00000109872,10090.ENSMUSP00000134550,10090.ENSMUSP00000141132,10090.ENSMUSP00000156559	H2-K1,Irf7,Tnfrsf1a,Calml4,Zfp36,Icam1,Traf2,H2-Q6,Stat1,Cdkn1a
mmu05205	Proteoglycans in cancer	10	196	0.47	0.1008	10090.ENSMUSP00000002284,10090.ENSMUSP00000005218,10090.ENSMUSP00000031681,10090.ENSMUSP00000034187,10090.ENSMUSP00000064163,10090.ENSMUSP00000064333,10090.ENSMUSP00000109144,10090.ENSMUSP00000111103,10090.ENSMUSP00000113071,10090.ENSMUSP00000156559	Plaur,Cd44,Wnt16,Mmp2,Flnc,Wnt11,Kdr,Met,Msn,Cdkn1a
mmu04010	MAPK signaling pathway	12	287	0.39	0.1058	10090.ENSMUSP00000004156,10090.ENSMUSP00000028882,10090.ENSMUSP00000032491,10090.ENSMUSP00000064163,10090.ENSMUSP00000092355,10090.ENSMUSP00000092828,10090.ENSMUSP00000099862,10090.ENSMUSP00000109144,10090.ENSMUSP00000109872,10090.ENSMUSP00000110923,10090.ENSMUSP00000111103,10090.ENSMUSP00000141400	Map3k11,Il1a,Tnfrsf1a,Flnc,Relb,Rasgrp3,Tek,Kdr,Traf2,Csf1r,Met,Map4k4
mmu04610	Complement and coagulation cascades	6	91	0.58	0.1126	10090.ENSMUSP00000002284,10090.ENSMUSP00000025230,10090.ENSMUSP00000026907,10090.ENSMUSP00000033053,10090.ENSMUSP00000036747,10090.ENSMUSP00000048836	Plaur,C2,Klkb1,Itgax,C1qc,C1qa
mmu04640	Hematopoietic cell lineage	6	90	0.59	0.1126	10090.ENSMUSP00000005218,10090.ENSMUSP00000025192,10090.ENSMUSP00000028882,10090.ENSMUSP00000029456,10090.ENSMUSP00000029748,10090.ENSMUSP00000110923	Cd44,H2-Oa,Il1a,Cd2,Fcgr1,Csf1r
mmu05170	Human immunodeficiency virus 1 infection	10	224	0.41	0.1163	10090.ENSMUSP00000025181,10090.ENSMUSP00000032491,10090.ENSMUSP00000034777,10090.ENSMUSP00000051921,10090.ENSMUSP00000060100,10090.ENSMUSP00000071989,10090.ENSMUSP00000099534,10090.ENSMUSP00000106709,10090.ENSMUSP00000109872,10090.ENSMUSP00000134550	H2-K1,Tnfrsf1a,Calml4,Bst2,Trim12c,Ccnb1,B2m,Ap1s1,Traf2,H2-Q6
mmu04142	Lysosome	7	128	0.5	0.1345	10090.ENSMUSP00000010195,10090.ENSMUSP00000015667,10090.ENSMUSP00000021607,10090.ENSMUSP00000022169,10090.ENSMUSP00000032779,10090.ENSMUSP00000106709,10090.ENSMUSP00000118415	Hyal1,Ctss,Lgmn,Hexb,Ctsc,Ap1s1,Laptm5
mmu04622	RIG-I-like receptor signaling pathway	5	70	0.62	0.1387	10090.ENSMUSP00000026571,10090.ENSMUSP00000042433,10090.ENSMUSP00000044350,10090.ENSMUSP00000103528,10090.ENSMUSP00000109872	Irf7,Ddx58,Azi2,Trim25,Traf2
mmu05133	Pertussis	5	73	0.6	0.1555	10090.ENSMUSP00000025230,10090.ENSMUSP00000028882,10090.ENSMUSP00000034777,10090.ENSMUSP00000036747,10090.ENSMUSP00000048836	C2,Il1a,Calml4,C1qc,C1qa
mmu04015	Rap1 signaling pathway	9	208	0.4	0.1567	10090.ENSMUSP00000029331,10090.ENSMUSP00000034777,10090.ENSMUSP00000035662,10090.ENSMUSP00000092019,10090.ENSMUSP00000092828,10090.ENSMUSP00000099862,10090.ENSMUSP00000109144,10090.ENSMUSP00000110923,10090.ENSMUSP00000111103	P2ry1,Calml4,Arap3,Id1,Rasgrp3,Tek,Kdr,Csf1r,Met
mmu04744	Phototransduction	3	25	0.84	0.1567	10090.ENSMUSP00000010205,10090.ENSMUSP00000034777,10090.ENSMUSP00000076948	Gnat1,Calml4,Sag
mmu05010	Alzheimer disease	13	360	0.32	0.1567	10090.ENSMUSP00000023677,10090.ENSMUSP00000025856,10090.ENSMUSP00000026222,10090.ENSMUSP00000027009,10090.ENSMUSP00000028882,10090.ENSMUSP00000031681,10090.ENSMUSP00000032491,10090.ENSMUSP00000034777,10090.ENSMUSP00000064333,10090.ENSMUSP00000080995,10090.ENSMUSP00000080998,10090.ENSMUSP00000096829,10090.ENSMUSP00000109872	Atp5o,Lrp5,Ndufb8,Casp12,Il1a,Wnt16,Tnfrsf1a,Calml4,Wnt11,mt-Atp8,mt-Nd3,Csnk2a1,Traf2
mmu05416	Viral myocarditis	5	74	0.59	0.1567	10090.ENSMUSP00000025181,10090.ENSMUSP00000025192,10090.ENSMUSP00000043957,10090.ENSMUSP00000083587,10090.ENSMUSP00000134550	H2-K1,H2-Oa,Lama1,Icam1,H2-Q6
mmu05150	Staphylococcus aureus infection	6	108	0.51	0.1588	10090.ENSMUSP00000025192,10090.ENSMUSP00000025230,10090.ENSMUSP00000029748,10090.ENSMUSP00000036747,10090.ENSMUSP00000048836,10090.ENSMUSP00000083587	H2-Oa,C2,Fcgr1,C1qc,C1qa,Icam1
mmu05332	Graft-versus-host disease	4	50	0.67	0.1588	10090.ENSMUSP00000025181,10090.ENSMUSP00000025192,10090.ENSMUSP00000028882,10090.ENSMUSP00000134550	H2-K1,H2-Oa,Il1a,H2-Q6
mmu05418	Fluid shear stress and atherosclerosis	7	142	0.46	0.1588	10090.ENSMUSP00000028882,10090.ENSMUSP00000032491,10090.ENSMUSP00000034187,10090.ENSMUSP00000034777,10090.ENSMUSP00000064823,10090.ENSMUSP00000083587,10090.ENSMUSP00000109144	Il1a,Tnfrsf1a,Mmp2,Calml4,Klf2,Icam1,Kdr
mmu04668	TNF signaling pathway	6	112	0.49	0.1671	10090.ENSMUSP00000032491,10090.ENSMUSP00000083587,10090.ENSMUSP00000087119,10090.ENSMUSP00000109872,10090.ENSMUSP00000109952,10090.ENSMUSP00000130759	Tnfrsf1a,Icam1,Mmp14,Traf2,Cflar,Traf1
mmu04215	Apoptosis - multiple species	3	32	0.74	0.2216	10090.ENSMUSP00000025399,10090.ENSMUSP00000032491,10090.ENSMUSP00000104503	Pmaip1,Tnfrsf1a,Birc7
mmu04514	Cell adhesion molecules	7	157	0.41	0.2216	10090.ENSMUSP00000025181,10090.ENSMUSP00000025192,10090.ENSMUSP00000029456,10090.ENSMUSP00000041925,10090.ENSMUSP00000065284,10090.ENSMUSP00000083587,10090.ENSMUSP00000134550	H2-K1,H2-Oa,Cd2,Cldn5,Ocln,Icam1,H2-Q6
mmu04621	NOD-like receptor signaling pathway	8	193	0.38	0.2216	10090.ENSMUSP00000026571,10090.ENSMUSP00000027009,10090.ENSMUSP00000080209,10090.ENSMUSP00000087587,10090.ENSMUSP00000101828,10090.ENSMUSP00000109872,10090.ENSMUSP00000132435,10090.ENSMUSP00000141132	Irf7,Casp12,Oas2,Gbp5,Gbp3,Traf2,Gbp2,Stat1
mmu04940	Type I diabetes mellitus	4	58	0.6	0.2216	10090.ENSMUSP00000025181,10090.ENSMUSP00000025192,10090.ENSMUSP00000028882,10090.ENSMUSP00000134550	H2-K1,H2-Oa,Il1a,H2-Q6
mmu05321	Inflammatory bowel disease	4	60	0.59	0.2216	10090.ENSMUSP00000025192,10090.ENSMUSP00000028882,10090.ENSMUSP00000100041,10090.ENSMUSP00000141132	H2-Oa,Il1a,Gata3,Stat1
mmu05222	Small cell lung cancer	5	92	0.5	0.2245	10090.ENSMUSP00000043957,10090.ENSMUSP00000104503,10090.ENSMUSP00000109872,10090.ENSMUSP00000130759,10090.ENSMUSP00000156559	Lama1,Birc7,Traf2,Traf1,Cdkn1a
mmu05322	Systemic lupus erythematosus	5	93	0.5	0.2271	10090.ENSMUSP00000025192,10090.ENSMUSP00000025230,10090.ENSMUSP00000029748,10090.ENSMUSP00000036747,10090.ENSMUSP00000048836	H2-Oa,C2,Fcgr1,C1qc,C1qa
mmu05217	Basal cell carcinoma	4	63	0.57	0.2328	10090.ENSMUSP00000031681,10090.ENSMUSP00000064333,10090.ENSMUSP00000107498,10090.ENSMUSP00000156559	Wnt16,Wnt11,Sufu,Cdkn1a
