ReactomeID,Description,GeneRatio,BgRatio,pvalue,padj,geneID,geneName,EntrezID,Count,Up,Up_Gene_id,Down,Down_Gene_id
R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,24|294,394|8067,0.009140565,0.401688867,ENSMUSG00000032796/ENSMUSG00000022841/ENSMUSG00000002602/ENSMUSG00000020422/ENSMUSG00000062312/ENSMUSG00000001249/ENSMUSG00000052911/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000019960/ENSMUSG00000010609/ENSMUSG00000031538/ENSMUSG00000032591/ENSMUSG00000031871/ENSMUSG00000005534/ENSMUSG00000110206/ENSMUSG00000024620/ENSMUSG00000020357/ENSMUSG00000029661/ENSMUSG00000055254/ENSMUSG00000061878/ENSMUSG00000062991/ENSMUSG00000017670/ENSMUSG00000022101,Lama1/Ap2m1/Axl/Tns3/Erbb2/Hpn/Lamb2/Pik3r1/Col1a1/Dusp6/Psen2/Plat/Mst1/Cdh5/Insr/Flt3l/Pdgfrb/Flt4/Col1a2/Ntrk2/Sphk1/Nrg1/Elmo2/Fgf17,16772/11773/26362/319939/13866/15451/16779/18708/12842/67603/19165/18791/15235/12562/16337/14256/18596/14257/12843/18212/20698/211323/140579/14171,24,3,ENSMUSG00000019960/ENSMUSG00000110206/ENSMUSG00000017670,21,ENSMUSG00000032796/ENSMUSG00000022841/ENSMUSG00000002602/ENSMUSG00000020422/ENSMUSG00000062312/ENSMUSG00000001249/ENSMUSG00000052911/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000010609/ENSMUSG00000031538/ENSMUSG00000032591/ENSMUSG00000031871/ENSMUSG00000005534/ENSMUSG00000024620/ENSMUSG00000020357/ENSMUSG00000029661/ENSMUSG00000055254/ENSMUSG00000061878/ENSMUSG00000062991/ENSMUSG00000022101
R-MMU-8875878,MET promotes cell motility,5|294,36|8067,0.009269743,0.401688867,ENSMUSG00000032796/ENSMUSG00000020422/ENSMUSG00000052911/ENSMUSG00000001506/ENSMUSG00000029661,Lama1/Tns3/Lamb2/Col1a1/Col1a2,16772/319939/16779/12842/12843,5,0,,5,ENSMUSG00000032796/ENSMUSG00000020422/ENSMUSG00000052911/ENSMUSG00000001506/ENSMUSG00000029661
R-MMU-1963642,PI3K events in ERBB2 signaling,3|294,14|8067,0.012937161,0.461421223,ENSMUSG00000062312/ENSMUSG00000041417/ENSMUSG00000062991,Erbb2/Pik3r1/Nrg1,13866/18708/211323,3,0,,3,ENSMUSG00000062312/ENSMUSG00000041417/ENSMUSG00000062991
R-MMU-400685,Sema4D in semaphorin signaling,3|294,14|8067,0.012937161,0.461421223,ENSMUSG00000062312/ENSMUSG00000002233/ENSMUSG00000053646,Erbb2/Rhoc/Plxnb1,13866/11853/235611,3,0,,3,ENSMUSG00000062312/ENSMUSG00000002233/ENSMUSG00000053646
R-MMU-8874081,MET activates PTK2 signaling,4|294,26|8067,0.01371487,0.461421223,ENSMUSG00000032796/ENSMUSG00000052911/ENSMUSG00000001506/ENSMUSG00000029661,Lama1/Lamb2/Col1a1/Col1a2,16772/16779/12842/12843,4,0,,4,ENSMUSG00000032796/ENSMUSG00000052911/ENSMUSG00000001506/ENSMUSG00000029661
R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,9|294,107|8067,0.015853138,0.461421223,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-1566948,Elastic fibre formation,5|294,41|8067,0.015904413,0.461421223,ENSMUSG00000048222/ENSMUSG00000050700/ENSMUSG00000017344/ENSMUSG00000008999/ENSMUSG00000024940,Mfap1b/Emilin3/Vtn/Bmp7/Ltbp3,100034361/280635/22370/12162/16998,5,0,,5,ENSMUSG00000048222/ENSMUSG00000050700/ENSMUSG00000017344/ENSMUSG00000008999/ENSMUSG00000024940
R-MMU-6806834,Signaling by MET,7|294,73|8067,0.016604966,0.461421223,ENSMUSG00000032796/ENSMUSG00000020422/ENSMUSG00000001249/ENSMUSG00000052911/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000029661,Lama1/Tns3/Hpn/Lamb2/Pik3r1/Col1a1/Col1a2,16772/319939/15451/16779/18708/12842/12843,7,0,,7,ENSMUSG00000032796/ENSMUSG00000020422/ENSMUSG00000001249/ENSMUSG00000052911/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000029661
R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,9|294,108|8067,0.01676142,0.461421223,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-927802,Nonsense-Mediated Decay (NMD),9|294,109|8067,0.017707238,0.461421223,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),9|294,109|8067,0.017707238,0.461421223,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-8964043,Plasma lipoprotein clearance,4|294,28|8067,0.01774697,0.461421223,ENSMUSG00000022841/ENSMUSG00000002985/ENSMUSG00000044254/ENSMUSG00000040564,Ap2m1/Apoe/Pcsk9/Apoc1,11773/11816/100102/11812,4,0,,4,ENSMUSG00000022841/ENSMUSG00000002985/ENSMUSG00000044254/ENSMUSG00000040564
R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,4|294,29|8067,0.020011644,0.500291092,ENSMUSG00000002985/ENSMUSG00000035459/ENSMUSG00000030895/ENSMUSG00000029368,Apoe/Stab2/Hpx/Alb,11816/192188/15458/11657,4,1,ENSMUSG00000035459,3,ENSMUSG00000002985/ENSMUSG00000030895/ENSMUSG00000029368
R-MMU-72613,Eukaryotic Translation Initiation,9|294,115|8067,0.024215805,0.562152619,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-72737,Cap-dependent Translation Initiation,9|294,115|8067,0.024215805,0.562152619,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Rps29/Rpl36al/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/20090/66483/67281/100502825/27207/20102/20084,9,1,ENSMUSG00000048758,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-5683826,Surfactant metabolism,3|294,18|8067,0.026053545,0.57264981,ENSMUSG00000056492/ENSMUSG00000039470/ENSMUSG00000032860,Adgrf5/Zdhhc2/P2ry2,224792/70546/18442,3,1,ENSMUSG00000039470,2,ENSMUSG00000056492/ENSMUSG00000032860
R-MMU-8848021,Signaling by PTK6,5|294,47|8067,0.027310991,0.57264981,ENSMUSG00000053113/ENSMUSG00000062312/ENSMUSG00000025358/ENSMUSG00000062991/ENSMUSG00000017670,Socs3/Erbb2/Cdk2/Nrg1/Elmo2,12702/13866/12566/211323/140579,5,1,ENSMUSG00000017670,4,ENSMUSG00000053113/ENSMUSG00000062312/ENSMUSG00000025358/ENSMUSG00000062991
R-MMU-9006927,Signaling by Non-Receptor Tyrosine Kinases,5|294,47|8067,0.027310991,0.57264981,ENSMUSG00000053113/ENSMUSG00000062312/ENSMUSG00000025358/ENSMUSG00000062991/ENSMUSG00000017670,Socs3/Erbb2/Cdk2/Nrg1/Elmo2,12702/13866/12566/211323/140579,5,1,ENSMUSG00000017670,4,ENSMUSG00000053113/ENSMUSG00000062312/ENSMUSG00000025358/ENSMUSG00000062991
R-MMU-373755,Semaphorin interactions,5|294,48|8067,0.029610495,0.599359089,ENSMUSG00000062312/ENSMUSG00000029168/ENSMUSG00000002233/ENSMUSG00000028465/ENSMUSG00000053646,Erbb2/Dpysl5/Rhoc/Tln1/Plxnb1,13866/65254/11853/21894/235611,5,0,,5,ENSMUSG00000062312/ENSMUSG00000029168/ENSMUSG00000002233/ENSMUSG00000028465/ENSMUSG00000053646
R-MMU-446728,Cell junction organization,6|294,65|8067,0.030429,0.599359089,ENSMUSG00000068699/ENSMUSG00000027111/ENSMUSG00000031871/ENSMUSG00000031962/ENSMUSG00000037712/ENSMUSG00000068036,Flnc/Itga6/Cdh5/Cdh15/Fermt2/Afdn,68794/16403/12562/12555/218952/17356,6,0,,6,ENSMUSG00000068699/ENSMUSG00000027111/ENSMUSG00000031871/ENSMUSG00000031962/ENSMUSG00000037712/ENSMUSG00000068036
R-MMU-109582,Hemostasis,26|294,491|8067,0.034471117,0.641955216,ENSMUSG00000032254/ENSMUSG00000020717/ENSMUSG00000030730/ENSMUSG00000020044/ENSMUSG00000051457/ENSMUSG00000022877/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000015053/ENSMUSG00000048534/ENSMUSG00000031538/ENSMUSG00000027111/ENSMUSG00000006522/ENSMUSG00000026715/ENSMUSG00000032562/ENSMUSG00000000290/ENSMUSG00000074272/ENSMUSG00000029661/ENSMUSG00000040714/ENSMUSG00000033880/ENSMUSG00000029368/ENSMUSG00000041119/ENSMUSG00000028465/ENSMUSG00000079015/ENSMUSG00000020611/ENSMUSG00000041329,Kif23/Pecam1/Atp2a1/Timp3/Spn/Hrg/Pik3r1/Col1a1/Gata2/Jaml/Plat/Itga6/Itih3/Serpinc1/Gnai2/Itgb2/Ceacam1/Col1a2/Klc3/Lgals3bp/Alb/Pde9a/Tln1/Serpina1c/Gna13/Atp1b2,71819/18613/11937/21859/20737/94175/18708/12842/14461/270152/18791/16403/16426/11905/14678/16414/26365/12843/232943/19039/11657/18585/21894/20702/14674/11932,26,1,ENSMUSG00000051457,25,ENSMUSG00000032254/ENSMUSG00000020717/ENSMUSG00000030730/ENSMUSG00000020044/ENSMUSG00000022877/ENSMUSG00000041417/ENSMUSG00000001506/ENSMUSG00000015053/ENSMUSG00000048534/ENSMUSG00000031538/ENSMUSG00000027111/ENSMUSG00000006522/ENSMUSG00000026715/ENSMUSG00000032562/ENSMUSG00000000290/ENSMUSG00000074272/ENSMUSG00000029661/ENSMUSG00000040714/ENSMUSG00000033880/ENSMUSG00000029368/ENSMUSG00000041119/ENSMUSG00000028465/ENSMUSG00000079015/ENSMUSG00000020611/ENSMUSG00000041329
R-MMU-977443,GABA receptor activation,5|294,50|8067,0.034566819,0.641955216,ENSMUSG00000031344/ENSMUSG00000020428/ENSMUSG00000026824/ENSMUSG00000032562/ENSMUSG00000022220,Gabrq/Gabra6/Kcnj3/Gnai2/Adcy4,57249/14399/16519/14678/104110,5,1,ENSMUSG00000026824,4,ENSMUSG00000031344/ENSMUSG00000020428/ENSMUSG00000032562/ENSMUSG00000022220
R-MMU-72695,"Formation of the ternary complex, and subsequently, the 43S complex",5|294,51|8067,0.037226259,0.672140789,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rps28/Rps29/Rps11/Rps4x/Rps18,54127/20090/27207/20102/20084,5,0,,5,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-190828,Gap junction trafficking,4|294,36|8067,0.040751768,0.684753306,ENSMUSG00000022841/ENSMUSG00000022150/ENSMUSG00000046352/ENSMUSG00000034520,Ap2m1/Dab2/Gjb2/Gjc1,11773/13132/14619/14615,4,0,,4,ENSMUSG00000022841/ENSMUSG00000022150/ENSMUSG00000046352/ENSMUSG00000034520
R-MMU-5576893,Phase 2 - plateau phase,3|294,22|8067,0.044208798,0.684753306,ENSMUSG00000041460/ENSMUSG00000090122/ENSMUSG00000010066,Cacna2d4/Kcne1l/Cacna2d2,319734/66240/56808,3,0,,3,ENSMUSG00000041460/ENSMUSG00000090122/ENSMUSG00000010066
R-MMU-1474228,Degradation of the extracellular matrix,8|294,109|8067,0.045092177,0.684753306,ENSMUSG00000001506/ENSMUSG00000000957/ENSMUSG00000005397/ENSMUSG00000001435/ENSMUSG00000038599/ENSMUSG00000038642/ENSMUSG00000029661/ENSMUSG00000067276,Col1a1/Mmp14/Nid1/Col18a1/Capn8/Ctss/Col1a2/Capn6,12842/17387/18073/12822/170725/13040/12843/12338,8,0,,8,ENSMUSG00000001506/ENSMUSG00000000957/ENSMUSG00000005397/ENSMUSG00000001435/ENSMUSG00000038599/ENSMUSG00000038642/ENSMUSG00000029661/ENSMUSG00000067276
R-MMU-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,11|294,171|8067,0.047767469,0.684753306,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000054079/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041438/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Utp18/Rps29/Rpl36al/Utp4/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/217109/20090/66483/21771/67281/100502825/27207/20102/20084,11,3,ENSMUSG00000048758/ENSMUSG00000054079/ENSMUSG00000041438,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-72312,rRNA processing,11|294,171|8067,0.047767469,0.684753306,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000054079/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041438/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Utp18/Rps29/Rpl36al/Utp4/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/217109/20090/66483/21771/67281/100502825/27207/20102/20084,11,3,ENSMUSG00000048758/ENSMUSG00000054079/ENSMUSG00000041438,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-8868773,rRNA processing in the nucleus and cytosol,11|294,171|8067,0.047767469,0.684753306,ENSMUSG00000048758/ENSMUSG00000067288/ENSMUSG00000054079/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041438/ENSMUSG00000041841/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668,Rpl29/Rps28/Utp18/Rps29/Rpl36al/Utp4/Rpl37/Rpl37rt/Rps11/Rps4x/Rps18,19944/54127/217109/20090/66483/21771/67281/100502825/27207/20102/20084,11,3,ENSMUSG00000048758/ENSMUSG00000054079/ENSMUSG00000041438,7,ENSMUSG00000067288/ENSMUSG00000034892/ENSMUSG00000049751/ENSMUSG00000041841/ENSMUSG00000003429/ENSMUSG00000031320/ENSMUSG00000008668
R-MMU-157858,Gap junction trafficking and regulation,4|294,38|8067,0.048288171,0.684753306,ENSMUSG00000022841/ENSMUSG00000022150/ENSMUSG00000046352/ENSMUSG00000034520,Ap2m1/Dab2/Gjb2/Gjc1,11773/13132/14619/14615,4,0,,4,ENSMUSG00000022841/ENSMUSG00000022150/ENSMUSG00000046352/ENSMUSG00000034520
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,5|294,55|8067,0.049094625,0.684753306,ENSMUSG00000001506/ENSMUSG00000027111/ENSMUSG00000001435/ENSMUSG00000038642/ENSMUSG00000029661,Col1a1/Itga6/Col18a1/Ctss/Col1a2,12842/16403/12822/13040/12843,5,0,,5,ENSMUSG00000001506/ENSMUSG00000027111/ENSMUSG00000001435/ENSMUSG00000038642/ENSMUSG00000029661
R-MMU-4641265,Repression of WNT target genes,2|294,10|8067,0.049099717,0.684753306,ENSMUSG00000027985/ENSMUSG00000055799,Lef1/Tcf7l1,16842/21415,2,0,,2,ENSMUSG00000027985/ENSMUSG00000055799
R-MMU-8866427,VLDLR internalisation and degradation,2|294,10|8067,0.049099717,0.684753306,ENSMUSG00000022841/ENSMUSG00000044254,Ap2m1/Pcsk9,11773/100102,2,0,,2,ENSMUSG00000022841/ENSMUSG00000044254
R-MMU-210991,Basigin interactions,3|294,23|8067,0.049512931,0.684753306,ENSMUSG00000051457/ENSMUSG00000027111/ENSMUSG00000041329,Spn/Itga6/Atp1b2,20737/16403/11932,3,1,ENSMUSG00000051457,2,ENSMUSG00000027111/ENSMUSG00000041329
